"","site","region","scenario","year","water_year_type","flow_metric","current_value_final","current_value_note","reference_value_final","reference_value_note","watercon_value_final","watercon_value_note","deltah_cur_ref_final","deltaH_watercon_ref_final"
"186",301011,"Oso and Small Creeks",NA,2005,"Wet","SP_Tim",147,"original",147,"original",147,"original",0,0
"187",301011,"Oso and Small Creeks",NA,2006,"Dry","DS_Dur_WS",159,"original",NA,"original",212,"original",NA,NA
"188",301011,"Oso and Small Creeks",NA,2006,"Dry","SP_Dur",68,"original",NA,"original",14,"original",NA,NA
"189",301011,"Oso and Small Creeks",NA,2006,"Dry","SP_Tim",237,"original",NA,"original",237,"original",NA,NA
"190",301011,"Oso and Small Creeks",NA,2007,"Dry","DS_Dur_WS",203,"original",NA,"original",183,"original",NA,NA
"191",301011,"Oso and Small Creeks",NA,2007,"Dry","SP_Dur",6,"original",NA,"original",5,"original",NA,NA
"192",301011,"Oso and Small Creeks",NA,2007,"Dry","SP_Tim",205,"original",NA,"original",205,"original",NA,NA
"193",301011,"Oso and Small Creeks",NA,2008,"Dry","DS_Dur_WS",63,"original",NA,"original",62,"original",NA,NA
"194",301011,"Oso and Small Creeks",NA,2008,"Dry","SP_Dur",168,"original",NA,"original",168,"original",NA,NA
"195",301011,"Oso and Small Creeks",NA,2008,"Dry","SP_Tim",181,"original",NA,"original",182,"original",NA,NA
"196",301011,"Oso and Small Creeks",NA,2009,"Dry","DS_Dur_WS",97,"original",NA,"original",253,"original",NA,NA
"197",301011,"Oso and Small Creeks",NA,2009,"Dry","SP_Dur",182,"original",NA,"original",20,"original",NA,NA
"198",301011,"Oso and Small Creeks",NA,2009,"Dry","SP_Tim",142,"original",NA,"original",142,"original",NA,NA
"199",301011,"Oso and Small Creeks",NA,2010,"Moderate","DS_Dur_WS",229,"original",NA,"original",222,"original",NA,NA
"200",301011,"Oso and Small Creeks",NA,2010,"Moderate","SP_Dur",74,"original",NA,"original",81,"original",NA,NA
"201",301011,"Oso and Small Creeks",NA,2010,"Moderate","SP_Tim",132,"original",NA,"original",132,"original",NA,NA
"202",301011,"Oso and Small Creeks",NA,2011,"Wet","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"203",301011,"Oso and Small Creeks",NA,2011,"Wet","SP_Dur",170,"original",98,"original",168,"original",72,70
